Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22
,Misc,,,,Passing,Rushing,Receiving,,,,,,,,,,,,,,
Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk
Josh Butler,CB,2024,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,17,,1.0
Solomon Byrd,DE,2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,,
Jaylon Carlies,DB,2024,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,24,,1.0
Caelen Carson,DB,2024,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,24,,
DeWayne Carter,DT,2024,0,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,11,,
Joshua Cephus,WR,2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
Elijah Chatman,DT,2024,0,0,0,3,17,0,0,0,0,0,0,0,0,0,0,0,11,,1.0
Devin Cochran,T,2024,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,,,
Brandon Codrington,CB,2024,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,8,,
Javion Cohen,OL,2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
Jalen Coker,WR,2024,0,0,0,4,11,1,1,19,0,0,0,0,0,32,478,2,,,
Myles Cole,OLB,2024,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,,
Brandon Coleman,OL,2024,0,0,1,8,16,0,0,0,0,0,0,0,0,0,0,0,,,
DJ Coleman,OLB,2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,
Keon Coleman,WR,2024,0,0,1,7,13,0,0,0,0,0,1,9,0,29,556,4,,,
Chris Collier,RB,2024,0,0,0,0,8,0,0,0,0,0,5,12,0,1,-4,0,,,
Junior Colson,LB,2024,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,15,,
Bump Cooper,CB,2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
Edgerrin Cooper,LB,2024,0,0,0,4,14,0,0,0,0,0,0,0,0,0,0,0,57,1,3.5
Malachi Corley,WR,2024,0,0,0,0,9,0,0,0,0,0,2,26,0,3,16,0,,,
