Player,Date,Tm,,Opp,,Rec,Yds,TD
Jauan Jennings,2024-09-22,SFO,@,LAR,"L, 24-27",11,175,3
Dallas Goedert,2024-09-22,PHI,@,NOR,"W, 15-12",10,170,0
Diontae Johnson,2024-09-22,CAR,@,LVR,"W, 36-22",8,122,1
Ja'Marr Chase,2024-09-23,CIN,,WAS,"L, 33-38",6,118,2
Rome Odunze,2024-09-22,CHI,@,IND,"L, 16-21",6,112,1
