Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13
,Games,Off.,Def.,ST,,,,,,,,
Year,Age,Tm,Pos,No.,G,GS,Num,Pct,Num,Pct,Num,Pct
2019,23,SFO,WR,19,15,11,709,71%,0,0%,1,0%
2020,24,SFO,WR,19,7,5,305,62%,0,0%,0,0%
2021*+,25,SFO,WR,19,16,15,829,80%,0,0%,9,2%
2022,26,SFO,WR,19,13,12,659,76%,0,0%,1,0%
2023,27,SFO,WR,19,15,15,708,74%,0,0%,24,6%
2024,28,SFO,WR,1,15,15,682,73%,0,0%,48,12%
Career,,,,,,3892,,0,,83,,
