Name,Role
Dom Capers,Defensive Coordinator
John Fassel,Special Teams Coordinator
Ben McAdoo,"Consultant, QB Coach, TE Coach"
Mike Nolan,Defensive Coordinator
Mike Pettine,Defensive Coordinator
Joe Philbin,"Offensive Coordinator, Offensive Line"
Dan Quinn,Defensive Coordinator
Jim Tomsula,Defensive Line
Mike Zimmer,Defensive Coordinator
