Player,Date,Tm,,Opp,,Rec,Yds,TD
Davante Adams,2024-12-15,NYJ,@,JAX,"W, 32-25",9,198,2
Amon-Ra St. Brown,2024-12-15,DET,,BUF,"L, 42-48",14,193,1
Mike Evans,2024-12-15,TAM,@,LAC,"W, 40-17",9,159,2
CeeDee Lamb,2024-12-15,DAL,@,CAR,"W, 30-14",9,116,1
Ty Johnson,2024-12-15,BUF,@,DET,"W, 48-42",5,114,0
