Player,Date,Tm,,Opp,,Cmp,Att,Yds,TD,Int,Rate
Kirk Cousins,2024-10-27,ATL,@,TAM,"W, 31-26",23,29,276,4,0,145.9
Jalen Hurts,2024-10-27,PHI,@,CIN,"W, 37-17",16,20,236,1,0,132.5
Jared Goff,2024-10-27,DET,,TEN,"W, 52-14",12,15,85,3,0,129.9
Sam Darnold,2024-10-24,MIN,@,LAR,"L, 20-30",18,25,240,2,0,128.7
Matthew Stafford,2024-10-24,LAR,,MIN,"W, 30-20",25,34,279,4,1,124.5
