Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13
,Games,Off.,Def.,ST,,,,,,,,
Year,Age,Tm,Pos,No.,G,GS,Num,Pct,Num,Pct,Num,Pct
2020,21,CIN,WR,85,16,14,805,75%,0,0%,0,0%
2021,22,CIN,WR,85,14,14,710,76%,0,0%,0,0%
2022,23,CIN,WR,85,16,14,757,68%,0,0%,3,1%
2023,24,CIN,WR,5,12,11,573,74%,0,0%,1,0%
2024,25,CIN,WR,5,12,9,636,79%,0,0%,1,0%
Career,,,,,,3481,,0,,5,,
