Player,Date,Tm,,Opp,,Cmp,Att,Yds,TD,Int,Rate
Patrick Mahomes,2025-01-26,KAN,,BUF,"W, 32-29",18,26,245,1,0,111.9
Jalen Hurts,2025-01-26,PHI,,WAS,"W, 55-23",20,28,246,1,0,110.1
Josh Allen,2025-01-26,BUF,@,KAN,"L, 29-32",22,34,237,2,0,104.7
Jayden Daniels,2025-01-26,WAS,@,PHI,"L, 23-55",29,48,255,1,1,72.8
