Player,Date,Tm,,Opp,,Att,Yds,TD
Chuba Hubbard,2024-11-10,CAR,,NYG,"W, 20-17",28,153,1
Bijan Robinson,2024-11-10,ATL,@,NOR,"L, 17-20",20,116,2
Jonathan Taylor,2024-11-10,IND,,BUF,"L, 20-30",21,114,0
Tyrone Tracy Jr.,2024-11-10,NYG,@,CAR,"L, 17-20",18,103,1
Aaron Jones,2024-11-10,MIN,@,JAX,"W, 12-7",17,88,0
