Player,Date,Tm,,Opp,,Solo,Ast,Int,Yds,TD,PD,Sk,FF
Cobie Durant,2025-01-13,LAR,,MIN,"W, 27-9",1,1,1,0,0,1,1.0,0
Eric Murray,2025-01-11,HOU,,LAC,"W, 32-12",4,3,1,38,1,1,0.0,0
Nnamdi Madubuike,2025-01-11,BAL,,PIT,"W, 28-14",3,1,0,0,0,1,2.0,0
Nolan Smith,2025-01-12,PHI,,GNB,"W, 22-10",4,4,0,0,0,0,2.0,0
Khalil Mack,2025-01-11,LAC,@,HOU,"L, 12-32",4,2,0,0,0,0,2.0,0
