Rank,Player,Yds,Year,Tm
,Steve Smith Sr. (32),"1,394",2011,CAR
Rank,Player,Yds,Year,Tm
126,Keenan Allen (25),"1,393",2017,LAC
127,Derrick Alexander (28),"1,391",2000,KAN
128,Mark Clayton (23),"1,389",1984,MIA
,Roddy White (28),"1,389",2010,ATL
130,Davante Adams (25),"1,386",2018,GNB
131,Vincent Jackson (29),"1,384",2012,TAM
,Bobby Mitchell+ (27),"1,384",1962,WAS
133,Lance Alworth+ (26),"1,383",1966,SDG
134,Dez Bryant (23),"1,382",2012,DAL
,Henry Ellard (28),"1,382",1989,RAM
,Javon Walker (25),"1,382",2004,GNB
,Roddy White (26),"1,382",2008,ATL
138,DeAndre Hopkins (25),"1,378",2017,HOU
139,Anquan Boldin (22),"1,377",2003,ARI
,George Kittle (24),"1,377",2018,SFO
141,Davante Adams (27),"1,374",2020,GNB
,Calvin Ridley (25),"1,374",2020,ATL
143,Jimmy Smith (32),"1,373",2001,JAX
,Adam Thielen (28),"1,373",2018,MIN
145,Torry Holt (28),"1,372",2004,STL
,Art Monk+ (26),"1,372",1984,WAS
147,Cris Carter+ (29),"1,371",1995,MIN
148,Chad Johnson (28),"1,369",2006,CIN
149,Eric Moulds (25),"1,368",1998,BUF
150,Odell Beckham Jr. (23),"1,367",2016,NYG
Rank,Player,Yds,Year,Tm
151,Marvin Harrison+ (34),"1,366",2006,IND
152,D.J. Moore (26),"1,364",2023,CHI
153,Torry Holt (25),"1,363",2001,STL
154,Mark Andrews (26),"1,361",2021,BAL
,James Lofton+ (28),"1,361",1984,GNB
,Art Powell (27),"1,361",1964,OAK
157,CeeDee Lamb (23),"1,359",2022,DAL
158,Alfred Jenkins (29),"1,358",1981,ATL
159,Jaylen Waddle (23),"1,356",2022,MIA
160,Chad Johnson (25),"1,355",2003,CIN
,Terrell Owens+ (33),"1,355",2007,DAL
,Reggie Wayne (31),"1,355",2010,IND
,Reggie Wayne (33),"1,355",2012,IND
164,Wes Welker (31),"1,354",2012,NWE
165,Carlos Carson (24),"1,351",1983,KAN
,Roddy White (30),"1,351",2012,ATL
167,A.J. Green (24),"1,350",2012,CIN
168,Wes Welker (28),"1,348",2009,NWE
169,Randy Moss+ (25),"1,347",2002,MIN
170,Pierre Garcon (27),"1,346",2013,WAS
171,T.Y. Hilton (24),"1,345",2014,IND
172,Tim Brown+ (33),"1,344",1999,OAK
,Dave Parks (23),"1,344",1965,SFO
174,Rod Smith (31),"1,343",2001,DEN
,Amani Toomer (28),"1,343",2002,NYG
Rank,Player,Yds,Year,Tm
176,Brandon Aiyuk (25),"1,342",2023,SFO
,Tim Brown+ (29),"1,342",1995,OAK
,Terance Mathis (27),"1,342",1994,ATL
179,Gary Clark (29),"1,340",1991,WAS
,Joe Horn (28),"1,340",2000,NOR
,John Jefferson (24),"1,340",1980,SDG
182,Isaac Bruce+ (23),"1,338",1996,STL
,Germane Crowell (22),"1,338",1999,DET
,Travis Kelce (32),"1,338",2022,KAN
185,Travis Kelce (28),"1,336",2018,KAN
186,Chris Godwin (23),"1,333",2019,TAM
187,DeSean Jackson (26),"1,332",2013,PHI
188,Torry Holt (29),"1,331",2005,STL
,Calvin Johnson+ (22),"1,331",2008,DET
,Golden Tate (26),"1,331",2014,DET
191,Michael Irvin+ (27),"1,330",1993,DAL
192,Hines Ward (26),"1,329",2002,PIT
193,Rob Gronkowski (22),"1,327",2011,NWE
194,Eric Moulds (27),"1,326",2000,BUF
195,Plaxico Burress (25),"1,325",2002,PIT
,Brandon Marshall (23),"1,325",2007,DEN
197,Jimmy Smith (28),"1,324",1997,JAX
198,Mike Evans (23),"1,321",2016,TAM
199,Miles Austin (25),"1,320",2009,DAL
,Dez Bryant (25),"1,320",2014,DAL
Rank,Player,Yds,Year,Tm
,Jake Reed (28),"1,320",1996,MIN
202,Jeremy Maclin (26),"1,318",2014,PHI
203,Ed McCaffrey (32),"1,317",2000,DEN
204,Irving Fryar (34),"1,316",1997,PHI
205,Jordy Nelson (28),"1,314",2013,GNB
206,Mark Duper (27),"1,313",1986,MIA
,Randy Moss+ (21),"1,313",1998,MIN
208,Lance Alworth+ (28),"1,312",1968,SDG
,Joe Horn (30),"1,312",2002,NOR
,Andre Reed+ (25),"1,312",1989,BUF
,Sidney Rice (23),"1,312",2009,MIN
212,Jimmy Graham (24),"1,310",2011,NOR
,Reggie Wayne (27),"1,310",2006,IND
