Player,Date,Tm,,Opp,,Solo,Ast,Int,Yds,TD,PD,Sk,FF
Andrew Van Ginkel,2024-09-08,MIN,@,NYG,"W, 28-6",2,2,1,10,1,1,1.0,0
Gregory Rousseau,2024-09-08,BUF,,ARI,"W, 34-28",6,0,0,0,0,0,3.0,1
Alontae Taylor,2024-09-08,NOR,,CAR,"W, 47-10",5,1,0,0,0,1,3.0,0
Eric Kendricks,2024-09-08,DAL,@,CLE,"W, 33-17",6,3,1,8,0,1,2.0,0
Keion White,2024-09-08,NWE,@,CIN,"W, 16-10",3,1,0,0,0,0,2.5,1
