Rank,Player,TD,Years,Tm
,DeAngelo Williams,70,2006-2016,2TM
Rank,Player,TD,Years,Tm
126,Stephen Davis,69,1996-2006,3TM
,Henry Ellard,69,1983-1998,3TM
,Roy Green,69,1979-1992,2TM
,Abner Haynes,69,1960-1967,4TM
,Derrick Mason,69,1997-2011,4TM
,Santana Moss,69,2001-2014,2TM
,Gerald Riggs,69,1982-1991,2TM
133,Tiki Barber,68,1997-2006,nyg
,Raymond Berry+,68,1955-1967,clt
,Larry Csonka+,68,1968-1979,2TM
,Arian Foster,68,2009-2016,2TM
,Art Monk+,68,1980-1995,3TM
,Jimmy Smith,68,1992-2005,2TM
139,Josh Allen,67,2018-2024,buf
,Keenan Allen,67,2013-2024,2TM
,Cliff Branch+,67,1972-1985,rai
,Chad Johnson,67,2001-2011,2TM
,Julio Jones,67,2011-2023,4TM
,Anthony Miller,67,1988-1997,3TM
,Michael Turner,67,2004-2012,2TM
146,DeSean Jackson,66,2008-2022,6TM
,Keyshawn Johnson,66,1996-2006,4TM
,Terance Mathis,66,1990-2002,3TM
,Jimmy Orr,66,1958-1970,2TM
,Sterling Sharpe+,66,1988-1994,gnb
Rank,Player,TD,Years,Tm
,Wendell Tyler,66,1977-1986,2TM
152,Emerson Boozer,65,1966-1975,nyj
,Billy Cannon,65,1960-1970,3TM
,Jamaal Charles,65,2008-2018,3TM
,Gary Clark,65,1985-1995,3TM
,Terrell Davis+,65,1995-2001,den
,Calvin Hill,65,1969-1981,3TM
,Elroy Hirsch+,65,1946-1957,2TM
,Michael Irvin+,65,1988-1999,dal
,Charlie Joiner+,65,1969-1986,3TM
,Tyler Lockett,65,2015-2024,sea
,Joe Morrison,65,1959-1972,nyg
,Sonny Randle,65,1959-1968,3TM
,Adam Thielen,65,2014-2024,2TM
165,Plaxico Burress,64,2000-2012,3TM
,Amari Cooper,64,2015-2024,4TM
,Warrick Dunn,64,1997-2008,2TM
,Kareem Hunt,64,2017-2024,2TM
,Brandon Jacobs,64,2005-2013,2TM
,Greg Jennings,64,2006-2015,3TM
,Chris Johnson,64,2008-2017,3TM
,Keenan McCardell,64,1992-2007,5TM
,Carl Pickens,64,1992-2000,2TM
,Darren Sproles,64,2005-2019,3TM
,John Stallworth+,64,1974-1987,pit
Rank,Player,TD,Years,Tm
176,Timmy Brown,63,1959-1968,3TM
,Vernon Davis,63,2006-2019,3TM
,Pete Pihos+,63,1947-1955,phi
,Demaryius Thomas,63,2010-2019,3TM
,Curt Warner,63,1983-1990,2TM
,Roddy White,63,2005-2015,atl
182,Saquon Barkley,62,2018-2024,2TM
,Brandin Cooks,62,2014-2024,5TM
,Donald Driver,62,1999-2012,gnb
,Paul Hornung+,62,1957-1966,gnb
,Josh Jacobs,62,2019-2024,2TM
,Dante Lavelli+,62,1946-1956,cle
,Jamal Lewis,62,2000-2009,2TM
,Herman Moore,62,1991-2002,2TM
,Muhsin Muhammad,62,1996-2009,2TM
,Shannon Sharpe+,62,1990-2003,2TM
,Ken Willard,62,1965-1974,2TM
193,Antonio Freeman,61,1995-2003,2TM
,Drew Hill,61,1979-1993,3TM
,Billy Howton,61,1952-1963,3TM
,Larry Johnson,61,2003-2011,4TM
,Latavius Murray,61,2014-2023,6TM
,Mike Quick,61,1982-1990,phi
199,Odell Beckham Jr.,60,2014-2024,5TM
,Rick Casares,60,1955-1966,3TM
Rank,Player,TD,Years,Tm
,Hugh McElhenny+,60,1952-1964,4TM
,Greg Olsen,60,2007-2020,3TM
,Jerry Smith,60,1965-1977,was
,Otis Taylor,60,1965-1975,kan
,Gene Washington,60,1969-1979,2TM
206,Marion Barber III,59,2005-2011,2TM
,Mark Duper,59,1982-1992,mia
208,Greg Bell,58,1984-1990,3TM
