Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
C,Frank Ragnow,DET,28,6,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, PFF: 2nd Tm"
RT,Zach Tom,GNB,25,2,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,PFF: 1st Tm
DL,Zach Allen,DEN,27,5,16,16,0,0,0,0,0,0,0,0,0,0,0,32,8.5,0,AP: 2nd Tm
DE,Myles Garrett,CLE,29,7,17,17,0,0,0,0,0,0,0,0,0,0,0,40,14.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
DE,Trey Hendrickson,CIN,30,7,17,17,0,0,0,0,0,0,0,0,0,0,0,33,17.5,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 2nd Tm, SN: 1st Tm"
DE,Micah Parsons,DAL,25,3,13,13,0,0,0,0,0,0,0,0,0,0,0,30,12.0,0,"FW: 1st Tm All-Conf., PFF: 2nd Tm"
DE,Nick Bosa,SFO,27,5,14,14,0,0,0,0,0,0,0,0,0,0,0,33,9.0,1,FW: 1st Tm All-Conf.
DT,Chris Jones,KAN,30,8,15,15,0,0,0,0,0,0,0,0,0,0,0,19,5.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
DT,Cameron Heyward,PIT,35,13,17,17,0,0,0,0,0,0,0,0,0,0,0,35,8.0,0,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, PFF: 1st Tm"
DT,Dexter Lawrence,NYG,27,5,12,12,0,0,0,0,0,0,0,0,0,0,0,23,9.0,0,"FW: 1st Tm All-Conf., NFLPA: 1st Tm, PFF: 2nd Tm, SN: 1st Tm"
DT,Jalen Carter,PHI,23,1,16,15,0,0,0,0,0,0,0,0,0,0,0,25,4.5,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, NFLPA: 1st Tm"
DT,Leonard Williams,SEA,30,9,16,16,0,0,0,0,0,0,0,0,0,0,0,37,11.0,1,"FW: 1st Tm All-Conf., PFF: 2nd Tm"
OLB,T.J. Watt,PIT,30,7,17,17,0,0,0,0,0,0,0,0,0,0,0,40,11.5,0,"FW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
OLB,Nik Bonitto,DEN,25,2,17,15,0,0,0,0,0,0,0,0,0,0,0,33,13.5,1,"FW: 1st Tm All-Conf., AP: 2nd Tm, FW: 1st Tm"
OLB,Andrew Van Ginkel,MIN,29,5,17,17,0,0,0,0,0,0,0,0,0,0,0,50,11.5,2,"FW: 1st Tm All-Conf., AP: 2nd Tm"
OLB,Jonathan Greenard,MIN,27,4,17,17,0,0,0,0,0,0,0,0,0,0,0,41,12.0,0,FW: 1st Tm All-Conf.
MLB,Fred Warner,SFO,28,6,17,17,0,0,0,0,0,0,0,0,0,0,0,76,1.0,2,"FW: 1st Tm All-Conf., AP: 1st Tm, FW: 1st Tm, NFLPA: 1st Tm, PFF: 1st Tm, SN: 1st Tm"
Pos,Player,Tm,Age,Yrs,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Sk,Int,All-pro teams
MLB,Roquan Smith,BAL,27,6,16,16,0,0,0,0,0,0,0,0,0,0,0,81,1.5,1,"FW: 1st Tm All-Conf., AP: 1st Tm, NFLPA: 1st Tm, SN: 1st Tm"
MLB,Zack Baun,PHI,28,4,16,16,0,0,0,0,0,0,0,0,0,0,0,93,3.5,1,"FW: 1st Tm All-Conf., AP: 1st Tm, PFF: 1st Tm"
LB,Bobby Wagner,WAS,34,12,17,17,0,0,0,0,0,0,0,0,0,0,0,75,2.0,0,"AP: 2nd Tm, PFF: 2nd Tm"
LB,Zaire Franklin,IND,28,6,17,17,0,0,0,0,0,0,0,0,0,0,0,93,3.5,2,AP: 2nd Tm
