Player,Date,Tm,,Opp,,Rec,Yds,TD
Xavier Worthy,2025-02-09,KAN,@,PHI,"L, 22-40",8,157,2
DeVonta Smith,2025-02-09,PHI,,KAN,"W, 40-22",4,69,1
A.J. Brown,2025-02-09,PHI,,KAN,"W, 40-22",3,43,1
Jahan Dotson,2025-02-09,PHI,,KAN,"W, 40-22",2,42,0
Saquon Barkley,2025-02-09,PHI,,KAN,"W, 40-22",6,40,0
