Player,G,Stats,
Joe Montana,84,"1493/2343, 17,243 yards, 117 TD, 67 int",Career passing leaders at Candlestick Park
Frank Gore,66,"1149 rush, 5,326 yards, 31 TD",Career rushing leaders at Candlestick Park
Jerry Rice,119,"646 rec, 9,403 yards, 91 TD",Career receiving leaders at Candlestick Park
