Player,Date,Tm,,Opp,,Cmp,Att,Yds,TD,Int,Rate
Tua Tagovailoa,2024-11-24,MIA,,NWE,"W, 34-15",29,40,317,4,0,128.9
Lamar Jackson,2024-11-25,BAL,@,LAC,"W, 30-23",16,22,177,2,0,126.5
Will Levis,2024-11-24,TEN,@,HOU,"W, 32-27",18,24,278,2,1,123.3
Patrick Mahomes,2024-11-24,KAN,@,CAR,"W, 30-27",27,37,269,3,0,120.2
Cooper Rush,2024-11-24,DAL,@,WAS,"W, 34-26",24,32,247,2,0,117.6
