Player,Date,Tm,,Opp,,Rec,Yds,TD
Justin Jefferson,2024-12-22,MIN,@,SEA,"W, 27-24",10,144,2
Jameson Williams,2024-12-22,DET,@,CHI,"W, 34-17",5,143,1
Keenan Allen,2024-12-22,CHI,,DET,"L, 17-34",9,141,1
Brian Thomas,2024-12-22,JAX,@,LVR,"L, 14-19",9,132,1
George Kittle,2024-12-22,SFO,@,MIA,"L, 17-29",8,106,0
