Rank,Player,Int,Tm,Boxscore
,Rod Woodson+,3,SFO,"San Francisco 49ers vs. New Orleans Saints, September 14, 1997"
,Keith Lyle,3,STL,"St. Louis Rams vs. Atlanta Falcons, December 15, 1996"
,Dwayne Harper,3,SDG,"San Diego Chargers vs. Oakland Raiders, November 27, 1995"
,Stevon Moore,3,CLE,"Cleveland Browns vs. Houston Oilers, September 17, 1995"
,Marcus Turner,3,NYJ,"New York Jets vs. Minnesota Vikings, November 20, 1994"
,Terry McDaniel,3,RAI,"Los Angeles Raiders vs. New England Patriots, October 9, 1994"
,Darren Perry,3,PIT,"Pittsburgh Steelers vs. Cleveland Browns, September 11, 1994"
,Jack Del Rio,3,MIN,"Minnesota Vikings vs. Detroit Lions, December 5, 1993"
,Marcus Robertson,3,HOU,"Houston Oilers vs. Cleveland Browns, November 21, 1993"
,Vencie Glenn,3,MIN,"Minnesota Vikings vs. Green Bay Packers, December 27, 1992"
,Mike Prior,3,IND,"Indianapolis Colts vs. Phoenix Cardinals, December 20, 1992"
,Mark Kelso,3,BUF,"Buffalo Bills vs. Denver Broncos, December 12, 1992"
,Eugene Robinson,3,SEA,"Seattle Seahawks vs. Pittsburgh Steelers, December 6, 1992"
,Brad Edwards,3,WAS,"Washington Redskins vs. Phoenix Cardinals, November 29, 1992"
,Audray McMillian,3,MIN,"Minnesota Vikings vs. Cleveland Browns, November 22, 1992"
,Louis Oliver,3,MIA,"Miami Dolphins vs. Buffalo Bills, October 4, 1992"
Rank,Player,Int,Tm,Boxscore
,Todd Scott,3,MIN,"Minnesota Vikings vs. Cincinnati Bengals, September 27, 1992"
,Richard Shelton,3,PIT,"Pittsburgh Steelers vs. Cleveland Browns, December 22, 1991"
,Gene Atkins,3,NOR,"New Orleans Saints vs. Phoenix Cardinals, December 22, 1991"
,Albert Lewis,3,KAN,"Kansas City Chiefs vs. Atlanta Falcons, September 1, 1991"
,Mark Carrier,3,CHI,"Chicago Bears vs. Washington Redskins, December 9, 1990"
,David Fulcher,3,CIN,"Cincinnati Bengals vs. Houston Oilers, December 17, 1989"
,David Fulcher,3,CIN,"Cincinnati Bengals vs. Kansas City Chiefs, October 1, 1989"
,Erik McMillan,3,NYJ,"New York Jets vs. Miami Dolphins, October 23, 1988"
,Frank Minnifield,3,CLE,"Cleveland Browns vs. Houston Oilers, November 22, 1987"
,Darrell Green+,3,WAS,"Washington Redskins vs. Detroit Lions, November 15, 1987"
,Reggie Sutton,3,NOR,"New Orleans Saints vs. Chicago Bears, October 18, 1987"
,Terry Kinard,3,NYG,"New York Giants vs. Dallas Cowboys, September 20, 1987"
,Lloyd Burruss,3,KAN,"Kansas City Chiefs vs. San Diego Chargers, October 19, 1986"
,Leonard Coleman,3,IND,"Indianapolis Colts vs. New Orleans Saints, October 12, 1986"
,Albert Lewis,3,KAN,"Kansas City Chiefs vs. Atlanta Falcons, December 8, 1985"
,Dennis Smith,3,DEN,"Denver Broncos vs. Los Angeles Raiders, December 8, 1985"
,Eugene Daniel,3,IND,"Indianapolis Colts vs. Green Bay Packers, October 27, 1985"
,Dave Waymer,3,NOR,"New Orleans Saints vs. Philadelphia Eagles, October 6, 1985"
,Kenny Easley+,3,SEA,"Seattle Seahawks vs. San Diego Chargers, October 29, 1984"
,Tom Flynn,3,GNB,"Green Bay Packers vs. Detroit Lions, October 28, 1984"
,Vernon Dean,3,WAS,"Washington Redskins vs. New York Giants, September 16, 1984"
,Steve Wilson,3,DEN,"Denver Broncos vs. Seattle Seahawks, November 20, 1983"
,Mark Murphy,3,WAS,"Washington Redskins vs. San Diego Chargers, October 31, 1983"
,Roland James,3,NWE,"New England Patriots vs. Buffalo Bills, October 23, 1983"
,William Judson,3,MIA,"Miami Dolphins vs. New York Jets, October 16, 1983"
Rank,Player,Int,Tm,Boxscore
,Eric Wright,3,SFO,"San Francisco 49ers vs. Minnesota Vikings, September 8, 1983"
,Bobby Watkins,3,DET,"Detroit Lions vs. Green Bay Packers, January 2, 1983"
,Hanford Dixon,3,CLE,"Cleveland Browns vs. Pittsburgh Steelers, December 19, 1982"
,Willie Teal,3,MIN,"Minnesota Vikings vs. Chicago Bears, November 28, 1982"
,Ken Riley+,3,CIN,"Cincinnati Bengals vs. Los Angeles Raiders, November 28, 1982"
,Dennis Thurman,3,DAL,"Dallas Cowboys vs. Philadelphia Eagles, December 13, 1981"
,Donnie Shell+,3,PIT,"Pittsburgh Steelers vs. Cleveland Browns, November 22, 1981"
,Ken Greene,3,STL,"St. Louis Cardinals vs. Buffalo Bills, November 15, 1981"
,Steve Foley,3,DEN,"Denver Broncos vs. San Diego Chargers, September 27, 1981"
,Louis Breeden,3,CIN,"Cincinnati Bengals vs. Chicago Bears, December 14, 1980"
,Joe Lavender,3,WAS,"Washington Redskins vs. San Diego Chargers, December 7, 1980"
,Pete Shaw,3,SDG,"San Diego Chargers vs. Cincinnati Bengals, November 2, 1980"
,John Turner,3,MIN,"Minnesota Vikings vs. Chicago Bears, October 12, 1980"
,Mike Wagner,3,PIT,"Pittsburgh Steelers vs. Chicago Bears, September 28, 1980"
,Jeff Nixon,3,BUF,"Buffalo Bills vs. Miami Dolphins, September 7, 1980"
,Pat Thomas,3,RAM,"Los Angeles Rams vs. New Orleans Saints, October 7, 1979"
,Larry Gordon,3,MIA,"Miami Dolphins vs. Oakland Raiders, December 10, 1978"
,Perry Smith,3,STL,"St. Louis Cardinals vs. Detroit Lions, December 3, 1978"
,Tony Leonard,3,SFO,"San Francisco 49ers vs. Cincinnati Bengals, October 1, 1978"
,Tom Myers,3,NOR,"New Orleans Saints vs. Minnesota Vikings, September 3, 1978"
,Ron Bolton,3,CLE,"Cleveland Browns vs. Los Angeles Rams, November 27, 1977"
,Bill Simpson,3,RAM,"Los Angeles Rams vs. San Francisco 49ers, November 20, 1977"
,Lyle Blackwood,3,BAL,"Baltimore Colts vs. New York Jets, November 20, 1977"
,Tony Greene,3,BUF,"Buffalo Bills vs. Seattle Seahawks, October 30, 1977"
,Clarence Duren,3,SDG,"San Diego Chargers vs. Miami Dolphins, October 30, 1977"
Rank,Player,Int,Tm,Boxscore
,Joe Rizzo,3,DEN,"Denver Broncos vs. Oakland Raiders, October 16, 1977"
,Ross Brupbacher,3,CHI,"Chicago Bears vs. Denver Broncos, December 12, 1976"
,Ken Riley+,3,CIN,"Cincinnati Bengals vs. New York Jets, December 12, 1976"
,Mike Haynes+,3,NWE,"New England Patriots vs. New York Jets, November 21, 1976"
,Monte Jackson,3,RAM,"Los Angeles Rams vs. Chicago Bears, October 17, 1976"
,Jackie Wallace,3,BAL,"Baltimore Colts vs. New England Patriots, September 12, 1976"
,Charlie Phillips,3,OAK,"Oakland Raiders vs. Denver Broncos, December 8, 1975"
,Roger Wehrli+,3,STL,"St. Louis Cardinals vs. Dallas Cowboys, December 7, 1975"
,Chris Fletcher,3,SDG,"San Diego Chargers vs. Denver Broncos, November 30, 1975"
,Curtis Johnson,3,MIA,"Miami Dolphins vs. New York Jets, October 19, 1975"
,Charlie Babb,3,MIA,"Miami Dolphins vs. Oakland Raiders, September 22, 1975"
,Ted Hendricks+,3,GNB,"Green Bay Packers vs. Los Angeles Rams, October 13, 1974"
,George Atkinson,3,OAK,"Oakland Raiders vs. Cleveland Browns, October 6, 1974"
,Bobby Bryant,3,MIN,"Minnesota Vikings vs. Green Bay Packers, December 8, 1973"
,Dick Jauron,3,DET,"Detroit Lions vs. Chicago Bears, November 18, 1973"
,Lee Roy Jordan,3,DAL,"Dallas Cowboys vs. Cincinnati Bengals, November 4, 1973"
,Mike Wagner,3,PIT,"Pittsburgh Steelers vs. Cincinnati Bengals, October 28, 1973"
,Rich Sowells,3,NYJ,"New York Jets vs. Baltimore Colts, September 23, 1973"
,Lemar Parrish,3,CIN,"Cincinnati Bengals vs. Houston Oilers, December 17, 1972"
,Willie Brown+,3,OAK,"Oakland Raiders vs. Los Angeles Rams, October 29, 1972"
,Joe Beauchamp,3,SDG,"San Diego Chargers vs. Denver Broncos, September 24, 1972"
,Mike Lucci,3,DET,"Detroit Lions vs. Chicago Bears, November 21, 1971"
,Gene Howard,3,RAM,"Los Angeles Rams vs. San Francisco 49ers, November 21, 1971"
,Willie Alexander,3,HOU,"Houston Oilers vs. Oakland Raiders, November 14, 1971"
,Ken Houston+,3,HOU,"Houston Oilers vs. Pittsburgh Steelers, October 24, 1971"
Rank,Player,Int,Tm,Boxscore
,Jack Pardee,3,WAS,"Washington Redskins vs. St. Louis Cardinals, October 17, 1971"
,Ken Ellis,3,GNB,"Green Bay Packers vs. Denver Broncos, September 26, 1971"
,Herb Adderley+,3,DAL,"Dallas Cowboys vs. Philadelphia Eagles, September 26, 1971"
,Richie Petitbon,3,WAS,"Washington Redskins vs. St. Louis Cardinals, September 19, 1971"
,Ed Sharockman,3,MIN,"Minnesota Vikings vs. Boston Patriots, December 13, 1970"
,Johnny Robinson+,3,KAN,"Kansas City Chiefs vs. Denver Broncos, December 6, 1970"
,Jerry Logan,3,BAL,"Baltimore Colts vs. New York Jets, October 18, 1970"
,Paul Martha,3,DEN,"Denver Broncos vs. Atlanta Falcons, October 18, 1970"
,Johnny Robinson+,3,KAN,"Kansas City Chiefs vs. Baltimore Colts, September 28, 1970"
,Clancy Williams,3,RAM,"Los Angeles Rams vs. Buffalo Bills, September 27, 1970"
,Bobby Bryant,3,MIN,"Minnesota Vikings vs. Cleveland Browns, November 9, 1969"
,Earsell Mackbee,3,MIN,"Minnesota Vikings vs. Detroit Lions, October 26, 1969"
,Dave Grayson,3,OAK,"Oakland Raiders vs. San Diego Chargers, October 26, 1969"
,Butch Byrd,3,BUF,"Buffalo Bills vs. Houston Oilers, October 5, 1969"
,Nick Buoniconti+,3,BOS,"Boston Patriots vs. Buffalo Bills, October 20, 1968"
,Mike Weger,3,DET,"Detroit Lions vs. Chicago Bears, September 22, 1968"
,Lem Barney+,3,DET,"Detroit Lions vs. Chicago Bears, September 22, 1968"
,Lem Barney+,3,DET,"Detroit Lions vs. Minnesota Vikings, December 17, 1967"
,Paul Krause+,3,WAS,"Washington Redskins vs. Pittsburgh Steelers, December 10, 1967"
,Tom Janik,3,BUF,"Buffalo Bills vs. Boston Patriots, December 9, 1967"
