Player,Date,Tm,,Opp,,Cmp,Att,Yds,TD,Int,Rate
Jared Goff,2024-12-22,DET,@,CHI,"W, 34-17",23,32,336,3,0,137.0
Joe Burrow,2024-12-22,CIN,,CLE,"W, 24-6",23,30,252,3,0,134.3
Lamar Jackson,2024-12-21,BAL,,PIT,"W, 34-17",15,23,207,3,1,115.4
Sam Darnold,2024-12-22,MIN,@,SEA,"W, 27-24",22,35,246,3,0,112.3
Justin Herbert,2024-12-19,LAC,,DEN,"W, 34-27",23,31,284,2,1,110.1
