Player,Date,Tm,,Opp,,Cmp,Att,Yds,TD,Int,Rate
Lamar Jackson,2024-10-21,BAL,@,TAM,"W, 41-31",17,22,281,5,0,158.1
Jared Goff,2024-10-20,DET,@,MIN,"W, 31-29",22,25,280,2,0,140.0
Marcus Mariota,2024-10-20,WAS,,CAR,"W, 40-7",18,23,205,2,0,132.8
Trevor Lawrence,2024-10-20,JAX,,NWE,"W, 32-16",15,20,193,1,0,121.5
Jalen Hurts,2024-10-20,PHI,@,NYG,"W, 28-3",10,14,114,1,0,119.3
