Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13
,Games,Off.,Def.,ST,,,,,,,,
Year,Age,Tm,Pos,No.,G,GS,Num,Pct,Num,Pct,Num,Pct
2022,23,SFO,QB,13,9,5,380,64%,0,0%,0,0%
2023*,24,SFO,QB,13,16,16,936,93%,0,0%,0,0%
2024,25,SFO,QB,13,15,15,944,99%,0,0%,0,0%
Career,,,,,,2260,,0,,0,,
