Player,Date,Tm,,Opp,,Cmp,Att,Yds,TD,Int,Rate
Josh Allen,2024-12-01,BUF,,SFO,"W, 35-10",13,17,148,2,0,141.3
Jordan Love,2024-11-28,GNB,,MIA,"W, 30-17",21,28,274,2,0,129.2
Russell Wilson,2024-12-01,PIT,@,CIN,"W, 44-38",29,38,414,3,1,126.4
Aidan O'Connell,2024-11-29,LVR,@,KAN,"L, 17-19",23,35,340,2,0,116.4
Jayden Daniels,2024-12-01,WAS,,TEN,"W, 42-19",25,30,206,3,1,114.7
