Player,Date,Tm,,Opp,,Solo,Ast,Int,Yds,TD,PD,Sk,FF
Odafe Oweh,2024-11-17,BAL,@,PIT,"L, 16-18",3,2,0,0,0,0,2.5,0
Nik Bonitto,2024-11-17,DEN,,ATL,"W, 38-6",4,3,0,0,0,0,2.0,0
Terrel Bernard,2024-11-17,BUF,,KAN,"W, 30-21",3,5,1,0,0,1,1.0,0
Braden Fiske,2024-11-17,LAR,@,NWE,"W, 28-22",2,1,0,0,0,0,2.0,1
Danielle Hunter,2024-11-18,HOU,@,DAL,"W, 34-10",3,0,0,0,0,1,2.0,0
