Player,Date,Tm,,Opp,,Rec,Yds,TD
Jordan Addison,2024-11-24,MIN,@,CHI,"W, 30-27",8,162,1
Jaylen Waddle,2024-11-24,MIA,,NWE,"W, 34-15",8,144,1
Trey McBride,2024-11-24,ARI,@,SEA,"L, 6-16",12,133,0
Jakobi Meyers,2024-11-24,LVR,,DEN,"L, 19-29",10,121,0
Puka Nacua,2024-11-24,LAR,,PHI,"L, 20-37",9,117,0
