Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19
,Punting,,,,,,,,,,,,,,,,,
Rk,Player,Age,Pos,G,GS,Pnt,Yds,Y/P,RetYds,NetYds,NY/P,Lng,TB,TB%,Pnt20,In20%,Blck,Awards
1,Corliss Waitman,29,P,16,0,65,3015,46.4,201,2694,41.4,71,5,7.7,27,41.5,0,
2,Cameron Johnston,32,P,1,0,2,103,51.5,28,75,37.5,58,0,0.0,1,50.0,0,
3,Chris Boswell,33,K,17,0,1,43,43.0,0,43,43.0,43,0,0.0,0,0.0,0,"PB,AP-1"
,Team Totals,,,17,,68,3161,46.5,229,2812,41.4,71,5,7.4,28,41.2,0,
