Player,Date,Tm,,Opp,,Cmp,Att,Yds,TD,Int,Rate
Baker Mayfield,2024-09-08,TAM,,WAS,"W, 37-20",24,30,289,4,0,146.4
Derek Carr,2024-09-08,NOR,,CAR,"W, 47-10",19,23,200,3,0,142.5
Josh Allen,2024-09-08,BUF,,ARI,"W, 34-28",18,23,232,2,0,137.7
C.J. Stroud,2024-09-08,HOU,@,IND,"W, 29-27",24,32,234,2,0,115.9
Sam Darnold,2024-09-08,MIN,@,NYG,"W, 28-6",19,24,208,2,1,113.2
