Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Misc,,,,Passing,Rushing,Receiving,,,,,,,,,,,,,,,,,
Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2021,2,Liam Eichenberg,42,OL,2024,0,0,4,23,60,0,0,0,0,0,,,0,,,0,,,Notre Dame
2021,3,Hunter Long,81,TE,2024,0,0,0,1,37,0,0,0,0,0,,,0,8,68,0,,,Boston Col.
2021,7,Larnel Coleman,231,T,2022,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,Massachusetts
2021,7,Gerrid Doaks,244,RB,,0,0,0,,,,,,,,,,,,,,,,Cincinnati
Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2020,1,Tua Tagovailoa,5,QB,2024,0,1,5,45,64,1387,2037,15506,100,44,153,430,6,,,0,,,Alabama
2020,1,Austin Jackson,18,T,2024,0,0,4,23,56,0,0,0,0,0,,,0,,,0,,,USC
2020,1,Noah Igbinoghene,30,CB,2024,0,0,1,7,54,0,0,0,0,0,,,0,,,0,1,,Auburn
2020,2,Robert Hunt,39,G,2024,0,1,5,29,77,0,0,0,0,0,1,0,0,,,0,,,Louisiana
2020,2,Raekwon Davis,56,DT,2024,0,0,3,23,80,0,0,0,0,0,,,0,,,0,,2.0,Alabama
2020,3,Brandon Jones,70,S,2024,0,0,2,17,70,0,0,0,0,0,,,0,,,0,6,8.0,Texas
2020,4,Solomon Kindley,111,G,2021,0,0,1,6,29,0,0,0,0,0,,,0,,,0,,,Georgia
2020,5,Jason Strowbridge,154,DE,2020,0,0,0,1,8,0,0,0,0,0,,,0,,,0,,,North Carolina
2020,5,Curtis Weaver,164,DE,2021,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,Boise St.
2020,6,Blake Ferguson,185,LS,2024,0,0,0,4,72,0,0,0,0,0,,,0,,,0,,,LSU
2020,7,Malcolm Perry,246,RB,2020,0,0,0,1,9,0,0,0,0,0,3,5,0,9,92,1,,,Navy
Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2019,1,Christian Wilkins,13,DT,2024,0,0,5,35,86,0,0,0,0,0,,,0,2,2,2,1,22.5,Clemson
2019,3,Michael Deiter,78,G,2024,0,0,2,16,90,0,0,0,0,0,,,0,1,0,0,,,Wisconsin
2019,5,Andrew Van Ginkel,151,LB,2024,0,1,4,39,90,0,0,0,0,0,,,0,,,0,4,28.5,Wisconsin
2019,6,Isaiah Prince,202,T,2024,0,0,0,4,22,0,0,0,0,0,,,0,,,0,,,Ohio St.
2019,7,Chandler Cox,233,RB,2020,0,0,0,0,21,0,0,0,0,0,,,0,2,9,0,,,Auburn
2019,7,Myles Gaskin,234,RB,2024,0,0,1,13,46,0,0,0,0,0,364,1354,7,102,712,6,,,Washington
Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2018,1,Minkah Fitzpatrick,11,S,2024,3,5,6,58,106,0,0,0,0,0,,,0,,,0,20,,Alabama
2018,2,Mike Gesicki,42,TE,2024,0,0,2,26,115,0,1,0,0,0,,,0,325,3526,22,,,Penn St.
2018,3,Jerome Baker,73,OLB,2024,0,0,6,37,104,0,0,0,0,0,,,0,,,0,5,24.5,Ohio St.
2018,4,Durham Smythe,123,TE,2024,0,0,5,10,112,0,0,0,0,0,4,4,1,132,1228,3,,,Notre Dame
