Player,Date,Tm,,Opp,,Rec,Yds,TD
Zach Ertz,2025-01-26,WAS,@,PHI,"L, 23-55",11,104,0
A.J. Brown,2025-01-26,PHI,,WAS,"W, 55-23",6,96,1
Dallas Goedert,2025-01-26,PHI,,WAS,"W, 55-23",7,85,0
Xavier Worthy,2025-01-26,KAN,,BUF,"W, 32-29",6,85,1
Mack Hollins,2025-01-26,BUF,@,KAN,"L, 29-32",3,73,1
