Season,Age,Team,Lg,Pos,G,GS,Y/A+,NY/A+,AY/A+,ANY/A+,Cmp%+,TD%+,Int%+,Sack%+,Rate+,Awards
2018,21,BAL,NFL,QB,16,7,97,96,99,98,80,90,110,85,92,
2019,22,BAL,NFL,QB,15,15,110,114,123,125,106,143,114,108,128,"PB,AP-1,AP MVP-1,AP OPoY-2"
2020,23,BAL,NFL,QB,15,15,103,102,108,106,99,124,98,93,110,
2021,24,BAL,NFL,QB,12,12,108,102,98,95,98,97,77,80,94,PB
2022,25,BAL,NFL,QB,12,12,95,97,101,102,90,111,104,93,102,
2023,26,BAL,NFL,QB,16,16,122,118,125,122,114,115,118,96,124,"PB,AP-1,AP MVP-1,AP OPoY-4,AP CPoY-9"
2024,27,BAL,NFL,QB,17,17,136,137,147,147,107,151,127,117,143,"PB,AP-1,AP MVP-2,AP OPoY-2"
7 Yrs,,103,94,113,112,118,116,102,122,108,98,117,,,,
