Player,Date,Tm,,Opp,,Solo,Ast,Int,Yds,TD,PD,Sk,FF
Josh Sweat,2025-02-09,PHI,,KAN,"W, 40-22",2,4,0,0,0,0,2.5,0
Cooper DeJean,2025-02-09,PHI,,KAN,"W, 40-22",3,0,1,38,1,1,0.0,0
Milton Williams,2025-02-09,PHI,,KAN,"W, 40-22",3,1,0,0,0,0,2.0,1
George Karlaftis III,2025-02-09,KAN,@,PHI,"L, 22-40",3,1,0,0,0,0,1.0,0
Bryan Cook,2025-02-09,KAN,@,PHI,"L, 22-40",3,1,1,0,0,1,0.0,0
