Player,Date,Tm,,Opp,,Rec,Yds,TD
Drake London,2025-01-05,ATL,,CAR,"L, 38-44",10,187,2
Quentin Johnston,2025-01-05,LAC,@,LVR,"W, 34-20",13,186,0
Jakobi Meyers,2025-01-05,LVR,,LAC,"L, 20-34",9,123,1
Kayshon Boutte,2025-01-05,NWE,,BUF,"W, 23-16",7,117,1
Brian Thomas,2025-01-05,JAX,@,IND,"L, 23-26",7,103,0
