Player,Date,Tm,,Opp,,Rec,Yds,TD
Amon-Ra St. Brown,2024-11-17,DET,,JAX,"W, 52-6",11,161,2
Christian Watson,2024-11-17,GNB,@,CHI,"W, 20-19",4,150,0
Tee Higgins,2024-11-17,CIN,@,LAC,"L, 27-34",9,148,1
Jerry Jeudy,2024-11-17,CLE,@,NOR,"L, 14-35",6,142,1
Brock Bowers,2024-11-17,LVR,@,MIA,"L, 19-34",13,126,1
