Player,Date,Tm,,Opp,,Att,Yds,TD
Saquon Barkley,2024-10-20,PHI,@,NYG,"W, 28-3",17,176,1
Derrick Henry,2024-10-21,BAL,@,TAM,"W, 41-31",15,169,0
Tank Bigsby,2024-10-20,JAX,,NWE,"W, 32-16",26,118,2
Jahmyr Gibbs,2024-10-20,DET,@,MIN,"W, 31-29",15,116,2
Joe Mixon,2024-10-20,HOU,@,GNB,"L, 22-24",25,115,2
