Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26
,Def Interceptions,Fumbles,,Tackles,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,AV,Awards
2024,24,LAR,NFL,OLB,17,16,0,0,0,0,2,2,0,2,0,0,4.5,66,36,30,11,18,0,10,"PB,AP DRoY-1"
1 Yr,,17,16,0,0,0,0,2,2,0,2,0,0,4.5,66,36,30,11,18,0,10,,,,
17 Game Avg,,17,16,0,0,0,0,2,2,0,2,0,0,4.5,66,36,30,11,18,0,10,,,,
