Player,Date,Tm,,Opp,,Solo,Ast,Int,Yds,TD,PD,Sk,FF
Michael Danna,2025-01-26,KAN,,BUF,"W, 32-29",2,2,0,0,0,0,1.0,1
Dorance Armstrong Jr.,2025-01-26,WAS,@,PHI,"L, 23-55",1,1,0,0,0,0,1.0,0
Oren Burks,2025-01-26,PHI,,WAS,"W, 55-23",5,4,0,0,0,0,1.0,1
Jordan Davis,2025-01-26,PHI,,WAS,"W, 55-23",1,1,0,0,0,1,1.0,0
Frankie Luvu,2025-01-26,WAS,@,PHI,"L, 23-55",2,2,0,0,0,0,1.0,0
