Player,Date,Tm,,Opp,,Att,Yds,TD
Sean Tucker,2024-10-13,TAM,@,NOR,"W, 51-27",14,136,1
Derrick Henry,2024-10-13,BAL,,WAS,"W, 30-23",24,132,2
Breece Hall,2024-10-14,NYJ,,BUF,"L, 20-23",18,113,0
Najee Harris,2024-10-13,PIT,@,LVR,"W, 32-13",14,106,1
Tyler Allgeier,2024-10-13,ATL,@,CAR,"W, 38-20",18,105,1
