Player,Tm,Stats,Boxscore,
Neil Lomax,STL,"32/51, 385 yards, 2 TD, 2 int","Jan 8, 1983",Top passing playoff games at Lambeau Field
Ryan Grant,GNB,"27 rush, 201 yards, 3 TD","Jan 12, 2008",Top rushing playoff games at Lambeau Field
Hakeem Nicks,NYG,"7 rec, 165 yards, 2 TD","Jan 15, 2012",Top receiving playoff games at Lambeau Field
