Year,Age,G,FantPos,FantPt,VBD,PosRank,OvRank,
2018,22,12,QB,208,,21,,All 2018 Games
2019,23,16,QB,289,25,6,43,All 2019 Games
2020,24,16,QB,395,113,1,7,All 2020 Games
2021,25,17,QB,403,126,1,4,All 2021 Games
2022,26,16,QB,396,117,2,7,All 2022 Games
2023,27,17,QB,393,122,1,3,All 2023 Games
2024,28,17,QB,379,91,2,8,All 2024 Games
,,,,2463,,,,Career Summary
