Name,Role
Bruce Arians,Offensive Coordinator
Brian Flores,Linebackers/Senior Defensive Asst.
Todd Haley,Offensive Coordinator
Dick LeBeau,Defensive Coordinator
Mike Munchak,Offensive Line
Arthur Smith,Offensive Coordinator
