Rank,Player,Int,Year,Tm
,Emlen Tunnell+ (26),9,1951,NYG
,Eric Turner (25),9,1994,CLE
,Lowell Wagner (28),9,1951,SFO
,Everson Walls (25),9,1985,DAL
,Dave Waymer (28),9,1986,NOR
,Barry Wilburn (23),9,1987,WAS
,Aeneas Williams+ (26),9,1994,ARI
,Charles Woodson+ (32),9,2009,GNB
,Willie Wood+ (25),9,1962,GNB
,Felix Wright (30),9,1989,CLE
161,Eric Allen+ (23),8,1989,PHI
,Ashley Ambrose (25),8,1996,CIN
,Dick Anderson (22),8,1968,MIA
,Dick Anderson (24),8,1970,MIA
,Dick Anderson (27),8,1973,MIA
,Nnamdi Asomugha (25),8,2006,OAK
,O.J. Atogwe (26),8,2007,STL
,Champ Bailey+ (27),8,2005,DEN
,Bill Baird (25),8,1964,NYJ
,Tony Banfield (23),8,1961,HOU
,Gary Barbaro (23),8,1977,KAN
,Lem Barney+ (23),8,1969,DET
,Mike Bass (26),8,1971,WAS
,Bibbles Bawel (21),8,1952,PHI
,Don Bishop (27),8,1961,DAL
Rank,Player,Int,Year,Tm
,Bobby Boyd (30),8,1968,BAL
,Tom Brookshier (21),8,1953,PHI
,Dave Brown (31),8,1984,SEA
,Ray Brown (21),8,1958,BAL
,Ray Brown (25),8,1974,ATL
,Stevie Brown (25),8,2012,NYG
,Bobby Bryant (25),8,1969,MIN
,Ray Buchanan (22),8,1994,IND
,Terrell Buckley (27),8,1998,MIA
,Kevin Byard (24),8,2017,TEN
,Ken Casanega (25),8,1946,SFO
,Jim Cason (24),8,1951,SFO
,Corey Chavous (27),8,2003,MIN
,Jack Christiansen+ (25),8,1954,DET
,Jack Christiansen+ (27),8,1956,DET
,Willie Clay (25),8,1995,DET
,Red Cochran (25),8,1947,CRD
,Nolan Cromwell (25),8,1980,RAM
,Eugene Daniel (24),8,1985,IND
,Thom Darden (24),8,1974,CLE
,Ben Davis (22),8,1968,CLE
,Doug Evans (31),8,2001,CAR
,Ross Fichtner (27),8,1966,CLE
,Pat Fischer (23),8,1963,STL
,Bobby Franklin (23),8,1960,CLE
Rank,Player,Int,Year,Tm
,David Fulcher (24),8,1989,CIN
,Claude Gibson (23),8,1962,SDG
,Dave Grayson (30),8,1969,OAK
,Jerry Gray (23),8,1986,RAM
,Tom Harmon (27),8,1947,RAM
,Dick Harris (26),8,1963,SDG
,Dwight Harrison (26),8,1975,BUF
,Walt Harris (32),8,2006,SFO
,Mike Haynes+ (23),8,1976,NWE
,Norb Hecker (29),8,1956,WAS
,W.K. Hicks (28),8,1970,NYJ
,Terry Hoage (26),8,1988,PHI
,Issiac Holt (23),8,1986,MIN
,Mike Howell (23),8,1966,CLE
,Bob Hudson (24),8,1954,PHI
,Bobby Hunt (22),8,1962,DTX
,Don Hutson+ (30),8,1943,GNB
,J.C. Jackson (25),8,2021,NWE
,Vestee Jackson (25),8,1988,CHI
,Tory James (31),8,2004,CIN
,Tom Janik (26),8,1966,BUF
,Pete Jaquess (23),8,1964,HOU
,Bob Jeter (30),8,1967,GNB
,Richard Johnson (26),8,1990,HOU
,Henry Jones (24),8,1992,BUF
Rank,Player,Int,Year,Tm
,Brian Kelly (26),8,2002,TAM
,Paul Krause+ (25),8,1967,WAS
,Warren Lahr (27),8,1950,CLE
,Tom Landry+ (26),8,1951,NYG
,Tom Landry+ (27),8,1952,NYG
,Tom Landry+ (29),8,1954,NYG
,Yale Lary+ (25),8,1956,DET
,Yale Lary+ (31),8,1962,DET
,Kwamie Lassiter (28),8,1998,ARI
,Joe Lavender (27),8,1976,WAS
,Carl Lee (27),8,1988,MIN
,Albert Lewis (24),8,1985,KAN
,Ronnie Lippett (25),8,1986,NWE
,Spider Lockhart (25),8,1968,NYG
,Ronnie Lott+ (32),8,1991,RAI
,Johnny Lujack (23),8,1948,CHI
,Keith Lyle (25),8,1997,STL
,Sam Madison (24),8,1998,MIA
,Chick Maggioli (28),8,1950,BCL
,Rashean Mathis (26),8,2006,JAX
,Archie Matsos (25),8,1960,BUF
,Dexter McCleon (26),8,2000,STL
,Vann McElroy (23),8,1983,RAI
,Xavier McKinney (26),8,2024,GNB
,Audray McMillian (30),8,1992,MIN
Rank,Player,Int,Year,Tm
,Erik McMillan (23),8,1988,NYJ
,Mark McMillian (27),8,1997,KAN
,Ryan McNeil (30),8,2001,SDG
,Eddie Meador (30),8,1967,RAM
,Dicky Moegle (22),8,1957,SFO
,Andy Nelson (25),8,1958,BAL
,Reggie Nelson (31),8,2015,CIN
,Jim Norton (23),8,1962,HOU
,Brig Owens (25),8,1968,WAS
,Jimmy Patton (27),8,1961,NYG
,Rod Perry (22),8,1976,RAM
,Rod Perry (24),8,1978,RAM
,Marcus Peters (22),8,2015,KAN
,Richie Petitbon (25),8,1963,CHI
,Beasley Reece (29),8,1983,2TM
,Ed Reed+ (31),8,2010,BAL
,Herb Rich (23),8,1952,RAM
,Ken Riley+ (36),8,1983,CIN
,Johnny Robinson+ (31),8,1969,KAN
,Johnny Sample (25),8,1961,PIT
,Joe Scarpati (23),8,1966,PHI
,Otto Schnellbacher (27),8,1950,NYG
,Ken Schroy (27),8,1980,NYJ
,Jake Scott (29),8,1974,MIA
,Mike Sensibaugh (23),8,1972,KAN
Rank,Player,Int,Year,Tm
,Richard Sherman (24),8,2012,SEA
,Richard Sherman (25),8,2013,SEA
,Jim Shofner (24),8,1960,CLE
,Darius Slay (26),8,2017,DET
,Charlie Stukes (27),8,1971,BAL
,Joe Sutton (26),8,1950,PHI
,Clendon Thomas (27),8,1963,PIT
,Emmitt Thomas+ (28),8,1971,KAN
,Pat Thomas (24),8,1978,RAM
,Emlen Tunnell+ (29),8,1954,NYG
,Bulldog Turner+ (23),8,1942,CHI
,Nathan Vasher (23),8,2005,CHI
,Mike Wagner (24),8,1973,PIT
,Lionel Washington (22),8,1983,STL
,Willie West (28),8,1966,MIA
,Stan White (25),8,1975,BAL
,Clancy Williams (23),8,1966,RAM
,Darryl Williams (27),8,1997,SEA
,Fred Williamson (25),8,1962,OAK
,Charles Woodson+ (29),8,2006,GNB
,Rod Woodson+ (28),8,1993,PIT
,Rod Woodson+ (37),8,2002,OAK
,Bob Zeman (24),8,1961,SDG
