Rank,Player,AV,Year,Tm
,Jim Brown+ (25),19,1961,CLE
,John David Crow (25),19,1960,STL
,Randall Cunningham (35),19,1998,MIN
Rank,Player,AV,Year,Tm
,Mike Curtis (25),19,1968,BAL
,Terrell Davis+ (24),19,1997,DEN
,Eric Dickerson+ (28),19,1988,IND
,Chris Doleman+ (30),19,1992,MIN
,Carl Eller+ (29),19,1971,MIN
,Boomer Esiason (27),19,1988,CIN
,James Farrior (29),19,2004,PIT
,Chuck Foreman (24),19,1975,MIN
,Dan Fouts+ (30),19,1981,SDG
,Jason Gildon (29),19,2001,PIT
,Todd Gurley (23),19,2017,LAR
,Charles Haley+ (26),19,1990,SFO
,Dan Hampton+ (26),19,1984,CHI
,David Harris (25),19,2009,NYJ
,James Harrison (30),19,2008,PIT
,James Harrison (32),19,2010,PIT
,Torry Holt (24),19,2000,STL
,Michael Irvin+ (29),19,1995,DAL
,Lamar Jackson (26),19,2023,BAL
,Edgerrin James+ (27),19,2005,IND
,Cortez Kennedy+ (24),19,1992,SEA
,Paul Krause+ (27),19,1969,MIN
,Greg Landry (24),19,1971,DET
,Greg Landry (25),19,1972,DET
,Albert Lewis (28),19,1989,KAN
Rank,Player,AV,Year,Tm
,Ray Lewis+ (26),19,2001,BAL
,Ray Lewis+ (28),19,2003,BAL
,Patrick Mahomes (26),19,2022,KAN
,Peyton Manning+ (37),19,2013,DEN
,Dan Marino+ (24),19,1986,MIA
,Wilber Marshall (30),19,1992,WAS
,Lawrence McCutcheon (23),19,1973,RAM
,Matt Milano (28),19,2022,BUF
,Bobby Mitchell+ (25),19,1960,CLE
,Lydell Mitchell (26),19,1975,BAL
,Randy Moss+ (30),19,2007,NWE
,Anthony Munoz+ (24),19,1982,CIN
,Joe Nash (23),19,1984,SEA
,Jordy Nelson (29),19,2014,GNB
,Cam Newton (22),19,2011,CAR
,Haloti Ngata (27),19,2011,BAL
,Jerry Norton (29),19,1960,STL
,Terrell Owens+ (27),19,2001,SFO
,Micah Parsons (23),19,2022,DAL
,Michael Dean Perry (24),19,1989,CLE
,Adrian Peterson (27),19,2012,MIN
,Dak Prescott (30),19,2023,DAL
,Jerry Rice+ (32),19,1995,SFO
,Philip Rivers (27),19,2009,SDG
,Aaron Rodgers (25),19,2009,GNB
Rank,Player,AV,Year,Tm
,Barry Sanders+ (29),19,1997,DET
,Jeff Saturday (32),19,2007,IND
,Mitchell Schwartz (29),19,2018,KAN
,Clyde Simmons (27),19,1991,PHI
,O.J. Simpson+ (26),19,1973,BUF
,Mike Singletary+ (27),19,1986,CHI
,Bubba Smith (26),19,1971,BAL
,Justin Smith (31),19,2011,SFO
,Michael Strahan+ (25),19,1997,NYG
,Pat Swilling (27),19,1992,NOR
,Fran Tarkenton+ (27),19,1967,NYG
,Jason Taylor+ (32),19,2006,MIA
,Lawrence Taylor+ (30),19,1989,NYG
,Adalius Thomas (29),19,2006,BAL
,Emmitt Thomas+ (31),19,1974,KAN
,Thurman Thomas+ (24),19,1990,BUF
,Thurman Thomas+ (26),19,1992,BUF
,Zach Thomas+ (25),19,1998,MIA
,LaDainian Tomlinson+ (24),19,2003,SDG
,Justin Tuck (25),19,2008,NYG
,Johnny Unitas+ (34),19,1967,BAL
,Brian Urlacher+ (28),19,2006,CHI
,Fred Warner (23),19,2020,SFO
,Kurt Warner+ (28),19,1999,STL
,J.J. Watt (23),19,2012,HOU
Rank,Player,AV,Year,Tm
,Reggie Wayne (28),19,2007,IND
,Reggie White+ (24),19,1986,PHI
,Reggie White+ (26),19,1988,PHI
,Reggie White+ (29),19,1991,PHI
,Tre'Davious White (24),19,2019,BUF
,Doug Wilkerson (35),19,1982,SDG
,Aeneas Williams+ (33),19,2001,STL
,Mario Williams (29),19,2014,BUF
,Ricky Williams (25),19,2002,MIA
,Russell Wilson (25),19,2014,SEA
,Russell Wilson (26),19,2015,SEA
,Rod Woodson+ (27),19,1992,PIT
,Eric Wright (26),19,1985,SFO
,Jack Youngblood+ (25),19,1975,RAM
,Steve Young+ (36),19,1998,SFO
241,Sam Adams (27),18,2000,BAL
,Eric Allen+ (23),18,1989,PHI
,Jared Allen+ (26),18,2008,MIN
,Josh Allen (24),18,2020,BUF
,Josh Allen (27),18,2023,BUF
,Marcus Allen+ (22),18,1982,RAI
,Dick Anderson (26),18,1972,MIA
,Ken Anderson (32),18,1981,CIN
,William Andrews (27),18,1983,ATL
,Jessie Armstead (26),18,1997,NYG
Rank,Player,AV,Year,Tm
,Geno Atkins (24),18,2012,CIN
,Geno Atkins (27),18,2015,CIN
,Champ Bailey+ (28),18,2006,DEN
,Saquon Barkley (27),18,2024,PHI
,Erich Barnes (26),18,1961,NYG
,Lem Barney+ (22),18,1968,DET
,Zack Baun (27),18,2024,PHI
,Nick Bosa (24),18,2022,SFO
,Bobby Boyd (26),18,1964,BAL
,Tom Brady (33),18,2010,NWE
,Tom Brady (38),18,2015,NWE
,Chad Brown (26),18,1996,PIT
,Vontaze Burfict (22),18,2013,CIN
,LeRoy Butler+ (28),18,1996,GNB
,Roger Carr (24),18,1976,BAL
,Kevin Carter (25),18,1999,STL
,Roger Craig (28),18,1988,SFO
,Marcell Dareus (24),18,2014,BUF
,Len Dawson+ (27),18,1962,DTX
,Aaron Donald (24),18,2015,STL
,Hugh Douglas (29),18,2000,PHI
,John Elway+ (37),18,1997,DEN
,Jahri Evans (26),18,2009,NOR
,Marshall Faulk+ (25),18,1998,IND
,Brett Favre+ (25),18,1995,GNB
Rank,Player,AV,Year,Tm
,Brett Favre+ (26),18,1996,GNB
,Joe Fields (28),18,1982,NYJ
,Bill Forester (30),18,1962,GNB
,Jeff Garcia (31),18,2001,SFO
,Mark Gastineau (26),18,1983,NYJ
,Bill George+ (33),18,1963,CHI
,Jared Goff (23),18,2018,LAR
,Jared Goff (29),18,2024,DET
,Randy Gradishar+ (25),18,1977,DEN
,Dave Grayson (26),18,1965,OAK
,Ahman Green (24),18,2001,GNB
,Darrell Green+ (31),18,1991,WAS
,Joe Greene+ (25),18,1972,PIT
,Kevin Greene+ (34),18,1996,CAR
,Trent Green (32),18,2002,KAN
,Trent Green (33),18,2003,KAN
,Robert Griffin III (22),18,2012,WAS
,Dan Hampton+ (28),18,1986,CHI
,Dick Harris (24),18,1961,SDG
,Lester Hayes (25),18,1980,OAK
,Mark Haynes (25),18,1984,NYG
,Garrison Hearst (27),18,1998,SFO
,Justin Herbert (23),18,2021,LAC
,Tyreek Hill (24),18,2018,KAN
,Tyreek Hill (29),18,2023,MIA
Rank,Player,AV,Year,Tm
,Xavien Howard (27),18,2020,MIA
,Jalen Hurts (25),18,2023,PHI
,Michael Irvin+ (25),18,1991,DAL
,Michael Irvin+ (26),18,1992,DAL
,Harold Jackson (27),18,1973,RAM
,Lamar Jackson (23),18,2020,BAL
,Kris Jenkins (23),18,2002,CAR
,Chris Johnson (23),18,2009,TEN
,Larry Johnson (26),18,2006,KAN
,Mark Johnston (22),18,1960,HOU
,Ron Johnson (22),18,1970,NYG
,Chris Jones (29),18,2023,KAN
,Too Tall Jones (31),18,1982,DAL
,Homer Jones (26),18,1967,NYG
,Henry Jordan+ (27),18,1962,GNB
,Leroy Kelly+ (24),18,1966,CLE
,Leroy Kelly+ (26),18,1968,CLE
,Jerry Kramer+ (26),18,1962,GNB
,Paul Krause+ (33),18,1975,MIN
,Luke Kuechly (22),18,2013,CAR
,Cooper Kupp (28),18,2021,LAR
,Jim Lachey (28),18,1991,WAS
,Night Train Lane+ (34),18,1962,DET
,Shaquille Leonard (23),18,2018,IND
,Ray Lewis+ (29),18,2004,BAL
Rank,Player,AV,Year,Tm
,Greg Lloyd (28),18,1993,PIT
,Howie Long+ (25),18,1985,RAI
,Patrick Mahomes (25),18,2021,KAN
,Don Majkowski (25),18,1989,GNB
,Peyton Manning+ (23),18,1999,IND
,Peyton Manning+ (27),18,2003,IND
,Peyton Manning+ (29),18,2005,IND
,Jim Marshall (31),18,1969,MIN
,Rashean Mathis (26),18,2006,JAX
,Bruce Matthews+ (29),18,1990,HOU
,Christian McCaffrey (27),18,2023,SFO
,Randall McDaniel+ (33),18,1998,MIN
,Steve McMichael+ (27),18,1985,CHI
,Steve McMichael+ (28),18,1986,CHI
,Keith Millard (26),18,1988,MIN
,Sam Mills+ (32),18,1991,NOR
,Sam Mills+ (37),18,1996,CAR
,Von Miller (23),18,2012,DEN
,Wilbert Montgomery (24),18,1979,PHI
,Warren Moon+ (33),18,1990,HOU
,Randy Moss+ (21),18,1998,MIN
,Randy Moss+ (26),18,2003,MIN
,Anthony Munoz+ (28),18,1986,CIN
,Anthony Munoz+ (30),18,1988,CIN
,DeMarco Murray (26),18,2014,DAL
Rank,Player,AV,Year,Tm
,Orlando Pace+ (23),18,1999,STL
,Orlando Pace+ (25),18,2001,STL
,Micah Parsons (22),18,2021,DAL
,Walter Payton+ (32),18,1985,CHI
,Julius Peppers+ (26),18,2006,CAR
,Julius Peppers+ (30),18,2010,CHI
,Brock Purdy (23),18,2023,SFO
,Jay Ratliff (28),18,2009,DAL
,Ray Rice (22),18,2009,BAL
,Simeon Rice (29),18,2003,TAM
,Philip Rivers (24),18,2006,SDG
,Aaron Rodgers (32),18,2016,GNB
,Aaron Rodgers (36),18,2020,GNB
,Darrell Russell (22),18,1998,OAK
,Matt Ryan (27),18,2012,ATL
,Deion Sanders+ (27),18,1994,SFO
,Deion Sanders+ (31),18,1998,DAL
,Warren Sapp+ (26),18,1999,TAM
,Gale Sayers+ (22),18,1965,CHI
,Herbert Scott (27),18,1980,DAL
,Penei Sewell (23),18,2024,DET
,Richard Sherman (26),18,2014,SEA
,Clyde Simmons (28),18,1992,PHI
,Mike Singletary+ (29),18,1988,CHI
,Fred Smerlas (25),18,1982,BUF
Rank,Player,AV,Year,Tm
,Bruce Smith+ (30),18,1993,BUF
,Rod Smith (30),18,2000,DEN
,Steve Smith Sr. (26),18,2005,CAR
,Dwight Stephenson+ (28),18,1986,MIA
,Michael Strahan+ (26),18,1998,NYG
,Ndamukong Suh (27),18,2014,DET
,Jim Taylor+ (26),18,1962,GNB
,Lawrence Taylor+ (22),18,1981,NYG
,Lawrence Taylor+ (24),18,1983,NYG
,Lawrence Taylor+ (31),18,1990,NYG
,Rosey Taylor (26),18,1963,CHI
,Joe Theismann (34),18,1983,WAS
,Derrick Thomas+ (24),18,1991,KAN
,Andre Tippett+ (25),18,1985,NWE
,Andre Tippett+ (27),18,1987,NWE
,LaDainian Tomlinson+ (25),18,2004,SDG
,LaDainian Tomlinson+ (26),18,2005,SDG
,LaDainian Tomlinson+ (28),18,2007,SDG
,Brian Urlacher+ (27),18,2005,CHI
,Sebastian Vollmer (26),18,2010,NWE
,Ted Washington (33),18,2001,CHI
,Ricky Watters (25),18,1994,SFO
,T.J. Watt (25),18,2020,PIT
,T.J. Watt (28),18,2023,PIT
,Danny White (30),18,1982,DAL
Rank,Player,AV,Year,Tm
,Randy White+ (31),18,1984,DAL
,Reggie White+ (27),18,1989,PHI
,Reggie White+ (34),18,1996,GNB
,Aeneas Williams+ (26),18,1994,ARI
,Kevin Williams (26),18,2006,MIN
,Kevin Williams (28),18,2008,MIN
,Charles Woodson+ (32),18,2009,GNB
,Rod Woodson+ (24),18,1989,PIT
,Eric Wright (25),18,1984,SFO
,Bryant Young+ (24),18,1996,SFO
