Player,Date,Tm,,Opp,,Rec,Yds,TD
Ja'Marr Chase,2024-11-07,CIN,@,BAL,"L, 34-35",11,264,3
Tylan Wallace,2024-11-07,BAL,,CIN,"W, 35-34",3,115,1
Terry McLaurin,2024-11-10,WAS,,PIT,"L, 27-28",5,113,0
Marquez Valdes-Scantling,2024-11-10,NOR,,ATL,"W, 20-17",3,109,2
A.J. Brown,2024-11-10,PHI,@,DAL,"W, 34-6",5,109,0
