Player,Tm,Stats,Boxscore,
Drew Brees,NOR,"33/43, 466 yards, 3 TD, 0 int","Jan 7, 2012",Top passing playoff games at Caesars Superdome
Deuce McAllister,NOR,"21 rush, 143 yards, 1 TD","Jan 13, 2007",Top rushing playoff games at Caesars Superdome
Calvin Johnson,DET,"12 rec, 211 yards, 2 TD","Jan 7, 2012",Top receiving playoff games at Caesars Superdome
