NumYrs,Players whose career was of similar quality and shape
3,"Tom Sestak, Jevon Kearse, J.J. Watt, Reggie White*, Kris Jenkins, Tommie Harris, Mel Branch, Darrell Russell, Al Baker, Roger Brown"
4,"Tom Sestak, Ndamukong Suh, Reggie White*, Roger Brown, Mel Branch, Richard Seymour*, Earl Faison, Tommie Harris, Larry Eisenhauer, Joe Greene*"
5,"Ndamukong Suh, Tom Sestak, Reggie White*, Julius Peppers*, Kevin Williams, Warren Sapp*, Earl Faison, Joe Greene*, Cortez Kennedy*, Bruce Smith*"
6,"Joe Greene*, Ndamukong Suh, Warren Sapp*, Richard Seymour*, Bruce Smith*, Reggie White*, Kevin Williams, Tom Sestak, Haloti Ngata, Cortez Kennedy*"
7,"Kevin Williams, Alan Page*, Warren Sapp*, Reggie White*, Haloti Ngata, Ndamukong Suh, Joe Greene*, Cortez Kennedy*, Mark Gastineau, Buck Buchanan*"
8,"Warren Sapp*, Alan Page*, Reggie White*, Kevin Williams, Dan Hampton*, Joe Greene*, Haloti Ngata, Carl Eller*, Bob Baumhower, Ndamukong Suh"
9,"Warren Sapp*, Alan Page*, Reggie White*, Julius Peppers*, Joe Greene*, Bruce Smith*, Kevin Williams, Carl Eller*, John Randle*, Dan Hampton*"
Career,"Warren Sapp*, Dan Hampton*, Cortez Kennedy*, Randy White*, J.J. Watt, Geno Atkins, Bob Baumhower, John Randle*, Michael Dean Perry, Cameron Heyward"
