Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35
,Receiving,Rushing,Scrimmage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
2020,21,CIN,NFL,WR,16,14,108,67,908,13.6,6,52,55.6,67,4.2,56.8,62.0,8.4,5,28,0,1,80.0,13,5.6,1.8,0.3,72,13.0,936,6,1,7,
2021,22,CIN,NFL,WR,14,14,110,74,1091,14.7,6,53,63.6,54,5.3,77.9,67.3,9.9,0,0,0,0,,,,0.0,0.0,74,14.7,1091,6,1,10,
2022,23,CIN,NFL,WR,16,14,109,74,1029,13.9,7,47,59.6,59,4.6,64.3,67.9,9.4,0,0,0,0,,,,0.0,0.0,74,13.9,1029,7,0,10,
2023,24,CIN,NFL,WR,12,11,76,42,656,15.6,5,33,53.9,80,3.5,54.7,55.3,8.6,0,0,0,0,,,,0.0,0.0,42,15.6,656,5,0,6,
2024,25,CIN,NFL,WR,12,9,109,73,911,12.5,10,48,64.2,42,6.1,75.9,67.0,8.4,0,0,0,0,,,,0.0,0.0,73,12.5,911,10,1,8,
5 Yrs,,70,62,512,330,4595,13.9,34,233,59.8,80,4.7,65.6,64.5,9.0,5,28,0,1,80.0,13,5.6,0.4,0.1,335,13.8,4623,34,3,41,,,,
17 Game Avg,,17,15,124,80,1116,13.9,8,57,59.8,80,4.7,65.6,64.5,9.0,1,7,0,0,80.0,13,5.6,0.4,0.1,81,3.4,1123,8,1,10,,,,
