Player,Date,Tm,,Opp,,Solo,Ast,Int,Yds,TD,PD,Sk,FF
Leonard Williams,2024-12-01,SEA,@,NYJ,"W, 26-21",3,1,1,92,1,1,2.0,0
Nik Bonitto,2024-12-02,DEN,,CLE,"W, 41-32",1,0,1,71,1,2,1.0,0
Tarheeb Still,2024-12-01,LAC,@,ATL,"W, 17-13",1,2,2,66,1,3,0.0,0
L.J. Collier,2024-12-01,ARI,@,MIN,"L, 22-23",2,0,0,0,0,0,2.0,0
Will McDonald,2024-12-01,NYJ,,SEA,"L, 21-26",2,0,0,0,0,0,2.0,0
