Player,Tm,Stats,Boxscore,
Matthew Stafford,DET,"36/59, 520 yards, 5 TD, 2 int","Jan 1, 2012",Top passing games at Lambeau Field
Ahman Green,GNB,"20 rush, 218 yards, 2 TD","Dec 28, 2003",Top rushing games at Lambeau Field
Julio Jones,ATL,"11 rec, 259 yards, 1 TD","Dec 8, 2014",Top receiving games at Lambeau Field
