Year,Age,G,FantPos,FantPt,VBD,PosRank,OvRank,
2020,21,16,WR,128,1,28,74,All 2020 Games
2021,22,14,WR,145,22,17,50,All 2021 Games
2022,23,16,WR,147,30,17,41,All 2022 Games
2023,24,12,WR,96,,45,,All 2023 Games
2024,25,12,WR,149,18,19,56,All 2024 Games
,,,,665,,,,Career Summary
