Rank,Player,TD,Year,Tm
,Deuce McAllister (23),13,2002,NOR
,LeSean McCoy (28),13,2016,BUF
,Willis McGahee (22),13,2004,BUF
Rank,Player,TD,Year,Tm
,Rashard Mendenhall (23),13,2010,PIT
,Joe Mixon (25),13,2021,CIN
,David Montgomery (26),13,2023,DET
,Alfred Morris (23),13,2012,WAS
,DeMarco Murray (26),13,2014,DAL
,Willie Parker (25),13,2006,PIT
,Walter Payton+ (23),13,1976,CHI
,Gerald Riggs (23),13,1984,ATL
,John Riggins+ (32),13,1981,WAS
,George Rogers (22),13,1981,NOR
,Barry Sanders+ (22),13,1990,DET
,Billy Sims (24),13,1980,DET
,Billy Sims (25),13,1981,DET
,Emmitt Smith+ (29),13,1998,DAL
,James Stewart (27),13,1999,JAX
,LaDainian Tomlinson+ (24),13,2003,SDG
,Steve Van Buren+ (26),13,1947,PHI
,Curt Warner (22),13,1983,SEA
,Curt Warner (25),13,1986,SEA
,Ricky Watters (27),13,1996,PHI
,James Wilder (26),13,1984,TAM
172,Joseph Addai (24),12,2007,IND
,Josh Allen (28),12,2024,BUF
,Marcus Allen+ (30),12,1990,RAI
,Marcus Allen+ (33),12,1993,KAN
Rank,Player,TD,Year,Tm
,Mike Anderson (31),12,2005,DEN
,Neal Anderson (24),12,1988,CHI
,Jim Brown+ (27),12,1963,CLE
,Earl Campbell+ (28),12,1983,HOU
,Rick Casares (25),12,1956,CHI
,Jamaal Charles (26),12,2013,KAN
,Nick Chubb (24),12,2020,CLE
,Nick Chubb (26),12,2022,CLE
,James Conner (23),12,2018,PIT
,Larry Csonka+ (32),12,1979,MIA
,Stephen Davis (31),12,2005,CAR
,Eric Dickerson+ (25),12,1985,RAM
,Corey Dillon (29),12,2004,NWE
,Corey Dillon (30),12,2005,NWE
,Tony Dorsett+ (23),12,1977,DAL
,Maurice Jones-Drew (23),12,2008,JAX
,Austin Ekeler (26),12,2021,LAC
,Ezekiel Elliott (24),12,2019,DAL
,Ezekiel Elliott (27),12,2022,DAL
,Marshall Faulk+ (28),12,2001,STL
,Eddie George (28),12,2002,TEN
,Cookie Gilchrist (28),12,1963,BUF
,Steve Grogan (23),12,1976,NWE
,Todd Gurley (25),12,2019,LAR
,Derrick Henry (24),12,2018,TEN
Rank,Player,TD,Year,Tm
,Derrick Henry (29),12,2023,TEN
,Mark Ingram (27),12,2017,NOR
,Josh Jacobs (22),12,2020,LVR
,Josh Jacobs (24),12,2022,LVR
,Pete Johnson (27),12,1981,CIN
,Pete Johnson (30),12,1984,2TM
,Rudi Johnson (24),12,2004,CIN
,Rudi Johnson (25),12,2005,CIN
,Rudi Johnson (26),12,2006,CIN
,Floyd Little+ (31),12,1973,DEN
,Marshawn Lynch (25),12,2011,SEA
,Marshawn Lynch (27),12,2013,SEA
,Curtis Martin+ (31),12,2004,NYJ
,Willis McGahee (27),12,2009,BAL
,Natrone Means (22),12,1994,SDG
,David Montgomery (27),12,2024,DET
,Mercury Morris (25),12,1972,MIA
,Chuck Muncie (30),12,1983,SDG
,Latavius Murray (26),12,2016,OAK
,Cam Newton (31),12,2020,NWE
,Don Nottingham (26),12,1975,MIA
,Christian Okoye (28),12,1989,KAN
,Adrian Peterson (22),12,2007,MIN
,Adrian Peterson (25),12,2010,MIN
,Adrian Peterson (26),12,2011,MIN
Rank,Player,TD,Year,Tm
,Adrian Peterson (27),12,2012,MIN
,Ray Rice (24),12,2011,BAL
,Robb Riddick (31),12,1988,BUF
,Stevan Ridley (23),12,2012,NWE
,O.J. Simpson+ (26),12,1973,BUF
,Antowain Smith (29),12,2001,NWE
,Emmitt Smith+ (22),12,1991,DAL
,Emmitt Smith+ (27),12,1996,DAL
,Fred Taylor (24),12,2000,JAX
,Jim Taylor+ (28),12,1964,GNB
,LaDainian Tomlinson+ (30),12,2009,SDG
,Michael Turner (28),12,2010,ATL
,Wendell Tyler (26),12,1981,RAM
,Herschel Walker (24),12,1986,DAL
,Clarence Williams (24),12,1979,SDG
,Kyren Williams (23),12,2023,LAR
244,Karim Abdul-Jabbar (22),11,1996,MIA
,Marcus Allen+ (22),11,1982,RAI
,Marcus Allen+ (25),11,1985,RAI
,Marcus Allen+ (37),11,1997,KAN
