Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26,Column_27,Column_28,Column_29,Column_30,Column_31,Column_32,Column_33,Column_34,Column_35
,Receiving,Rushing,Scrimmage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
1995,33,SFO,NFL,WR,16,16,176,122,1848,15.1,15,74,58.5,81,7.6,115.5,69.3,10.5,5,36,1,3,60.0,20,7.2,2.3,0.3,127,14.8,1884,16,3,19,"PB,AP-1,AP MVP-2,AP OPoY-3"
1996,34,SFO,NFL,WR,16,16,153,108,1254,11.6,8,72,62.1,39,6.8,78.4,70.6,8.2,11,77,1,3,36.4,38,7.0,4.8,0.7,119,11.2,1331,9,0,14,"PB,AP-1,AP OPoY-5"
1997,35,SFO,NFL,WR,2,1,8,7,78,11.1,1,4,62.5,16,3.5,39.0,87.5,9.8,1,-10,0,0,0.0,-10,-10.0,-5.0,0.5,8,8.5,68,1,0,1,
1998,36,SFO,NFL,WR,16,16,151,82,1157,14.1,9,57,49.0,75,5.1,72.3,54.3,7.7,0,0,0,0,,,,0.0,0.0,82,14.1,1157,9,2,12,"PB,AP CPoY-4"
1999,37,SFO,NFL,WR,16,16,124,67,830,12.4,5,41,46.0,62,4.2,51.9,54.0,6.7,2,13,0,1,50.0,11,6.5,0.8,0.1,69,12.2,843,5,0,7,
2000,38,SFO,NFL,WR,16,16,122,75,805,10.7,7,49,51.6,68,4.7,50.3,61.5,6.6,1,-2,0,0,0.0,-2,-2.0,-0.1,0.1,76,10.6,803,7,3,9,
2001,39,OAK,NFL,WR,16,15,125,83,1139,13.7,9,62,64.0,40,5.2,71.2,66.4,9.1,0,0,0,0,,,,0.0,0.0,83,13.7,1139,9,1,12,
2002,40,OAK,NFL,WR,16,16,150,92,1211,13.2,7,59,60.0,75,5.8,75.7,61.3,8.1,3,20,0,1,66.7,12,6.7,1.3,0.2,95,13.0,1231,7,1,12,"PB,AP-2"
2003,41,OAK,NFL,WR,16,15,124,63,869,13.8,2,44,46.0,47,3.9,54.3,50.8,7.0,0,0,0,0,,,,0.0,0.0,63,13.8,869,2,2,7,
2004,42,2TM,NFL,WR,17,14,64,30,429,14.3,3,21,43.8,56,1.8,25.2,46.9,6.7,0,0,0,0,,,,0.0,0.0,30,14.3,429,3,0,4,
