Rank,Player,Yds,Years,Tm
124,Pierre Garcon,"7,854",2008-2018,3TM
125,Drew Pearson+,"7,822",1973-1983,dal
Rank,Player,Yds,Years,Tm
126,Cooper Kupp,"7,776",2017-2024,ram
127,Bobby Engram,"7,751",1996-2009,3TM
128,Anthony Carter,"7,733",1985-1995,2TM
129,Chris Chambers,"7,648",2001-2010,3TM
130,Randall Cobb,"7,624",2011-2023,4TM
131,Brian Blades,"7,620",1988-1998,sea
132,Vernon Davis,"7,562",2006-2019,3TM
133,Nat Moore,"7,546",1974-1986,mia
134,Roy Jefferson,"7,539",1965-1976,3TM
135,Gary Garrison,"7,538",1966-1977,2TM
136,D.J. Moore,"7,531",2018-2024,2TM
137,Dez Bryant,"7,506",2010-2020,2TM
138,Michael Crabtree,"7,499",2009-2019,4TM
139,Justin Jefferson,"7,432",2020-2024,min
140,Ed McCaffrey,"7,422",1991-2003,3TM
141,Marvin Jones,"7,421",2012-2023,3TM
142,Bob Hayes+,"7,414",1965-1975,2TM
143,Pete Retzlaff,"7,412",1956-1966,phi
144,George Kittle,"7,380",2017-2024,sfo
145,Wayne Chrebet,"7,365",1995-2005,nyj
146,Otis Taylor,"7,306",1965-1975,kan
147,Boyd Dowler,"7,270",1959-1971,2TM
148,Chris Godwin,"7,266",2017-2024,tam
149,Antonio Freeman,"7,251",1995-2003,2TM
150,Jared Cook,"7,237",2009-2021,6TM
Rank,Player,Yds,Years,Tm
,T.J. Houshmandzadeh,"7,237",2001-2011,4TM
152,Dwayne Bowe,"7,208",2007-2015,2TM
153,Lionel Taylor,"7,195",1959-1968,3TM
154,Darrell Jackson,"7,132",2000-2008,3TM
155,Carl Pickens,"7,129",1992-2000,2TM
156,Ken Burrough,"7,102",1970-1981,2TM
157,Isaac Curtis,"7,101",1973-1984,cin
158,Reggie Rucker,"7,065",1970-1981,4TM
159,Allen Robinson,"7,058",2014-2024,5TM
160,John Gilliam,"7,056",1967-1977,5TM
161,Elroy Hirsch+,"7,029",1946-1957,2TM
162,A.J. Brown,"7,026",2019-2024,2TM
163,Shawn Jefferson,"7,023",1991-2003,4TM
164,Pat Tilley,"7,005",1976-1986,crd
165,Jake Reed,"6,999",1991-2002,2TM
166,J.T. Smith,"6,974",1978-1990,3TM
167,Derrick Alexander,"6,971",1994-2002,4TM
168,Nate Washington,"6,954",2005-2015,3TM
169,Marshall Faulk+,"6,875",1994-2005,2TM
170,Gene Washington,"6,856",1969-1979,2TM
171,Jeremy Maclin,"6,835",2009-2017,3TM
172,Ahmad Rashad,"6,831",1972-1982,3TM
173,Charley Hennigan,"6,823",1960-1966,oti
174,Julian Edelman,"6,822",2009-2020,nwe
175,Larry Centers,"6,797",1990-2003,4TM
Rank,Player,Yds,Years,Tm
176,Alshon Jeffery,"6,786",2012-2020,2TM
177,Dwight Clark,"6,750",1979-1987,sfo
178,Frank Sanders,"6,749",1995-2003,2TM
179,Kellen Winslow+,"6,741",1979-1987,sdg
180,Frank Lewis,"6,724",1971-1983,2TM
181,Marty Booker,"6,703",1999-2009,3TM
182,Cris Collinsworth,"6,698",1981-1988,cin
183,Deion Branch,"6,644",2002-2012,2TM
,Mel Gray,"6,644",1971-1982,crd
185,Willie Gault,"6,635",1983-1993,2TM
186,Jerricho Cotchery,"6,623",2004-2015,3TM
187,Al Toon,"6,605",1985-1992,nyj
188,Brett Perriman,"6,589",1988-1997,4TM
189,Michael Haynes,"6,588",1988-1997,2TM
190,Heath Miller,"6,569",2005-2015,pit
,Michael Thomas,"6,569",2016-2023,nor
192,Doug Baldwin,"6,563",2011-2018,sea
193,Henry Marshall,"6,545",1976-1987,kan
