Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
2024,24,WAS,NFL,QB,17,17,12-5-0,331,480,69.0,3568,25,5.2,9,1.9,170,47.1,86,7.4,7.63,10.8,209.9,100.1,70.6,47,238,8.92,6.32,6.50,4,4,20,"PB,AP MVP-7,AP OPoY-17,AP ORoY-1"
1 Yr,,17,17,12-5-0,331,480,69.0,3568,25,5.2,9,1.9,170,47.1,86,7.4,7.63,10.8,209.9,100.1,,47,238,8.92,6.32,6.50,4,4,20,,,,
17 Game Avg,,17,17,12-5-0,331,480,69.0,3568,25,5.2,9,1.9,170,47.1,86,7.4,7.63,10.8,209.9,100.1,,47,238,8.92,6.32,6.50,4,4,20,,,,
