Year,Age,G,FantPos,FantPt,VBD,PosRank,OvRank,
2019,23,15,WR,132,3,26,73,All 2019 Games
2020,24,7,WR,48,,98,,All 2020 Games
2021,25,16,WR,262,132,2,3,All 2021 Games
2022,26,13,WR,112,,33,,All 2022 Games
2023,27,15,WR,184,51,7,21,All 2023 Games
2024,28,15,WR,103,,44,,All 2024 Games
,,,,841,,,,Career Summary
