Season,Age,Team,Lg,Pos,G,GS,Cmp,Att,Yds,TD,Int,1D,Y/G,QBR,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD,Awards
2024,27,PHI,NFL,RB,16,16,0,0,0,0,0,0,0.0,0.2,1,2,100.00,-2.00,-2.00,0,0,"PB,AP-1,AP MVP-3,AP OPoY-1,AP CPoY-14"
7 Yrs,,90,90,0,0,0,0,0,0,0.0,,1,2,100.00,-2.00,-2.00,0,0,,,,
17 Game Avg,,17,17,0,0,0,0,0,0,0.0,,0,0,100.00,-2.00,-2.00,0,0,,,,
,,,,,,,,,,,,,,,,,,,,,,
NYG (6 Yrs),,74,74,0,0,0,0,0,0,0.0,,0,0,,,,0,0,,,,
PHI (1 Yr),,16,16,0,0,0,0,0,0,0.0,,1,2,100.00,-2.00,-2.00,0,0,,,,
