Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13
,Games,Off.,Def.,ST,,,,,,,,
Year,Age,Tm,Pos,No.,G,GS,Num,Pct,Num,Pct,Num,Pct
2019,22,NYG,WR,86,14,9,701,75%,0,0%,12,3%
2020,23,NYG,WR,86,16,15,877,87%,0,0%,4,1%
2021,24,NYG,WR,86,13,5,536,64%,0,0%,0,0%
2022,25,NYG,WR,86,16,11,698,65%,0,0%,0,0%
2023,26,NYG,WR,86,17,13,896,81%,0,0%,2,0%
2024,27,NYG,WR,86,16,13,872,83%,0,0%,4,1%
Career,,,,,,4580,,0,,22,,
