Player,Date,Tm,,Opp,,Att,Yds,TD
Jalen Hurts,2025-02-09,PHI,,KAN,"W, 40-22",11,72,1
Saquon Barkley,2025-02-09,PHI,,KAN,"W, 40-22",25,57,0
Patrick Mahomes,2025-02-09,KAN,@,PHI,"L, 22-40",4,25,0
Kenneth Gainwell,2025-02-09,PHI,,KAN,"W, 40-22",6,10,0
Kareem Hunt,2025-02-09,KAN,@,PHI,"L, 22-40",3,9,0
