Player,Date,Tm,,Opp,,Att,Yds,TD
Derrick Henry,2024-09-22,BAL,@,DAL,"W, 28-25",25,151,2
Saquon Barkley,2024-09-22,PHI,@,NOR,"W, 15-12",17,147,2
Chuba Hubbard,2024-09-22,CAR,@,LVR,"W, 36-22",21,114,0
Jonathan Taylor,2024-09-22,IND,,CHI,"W, 21-16",23,110,2
David Montgomery,2024-09-22,DET,@,ARI,"W, 20-13",23,105,1
