Player,Date,Tm,,Opp,,Solo,Ast,Int,Yds,TD,PD,Sk,FF
Danielle Hunter,2024-11-24,HOU,,TEN,"L, 27-32",6,1,0,0,0,0,3.0,0
Myles Garrett,2024-11-21,CLE,,PIT,"W, 24-19",3,2,0,0,0,0,3.0,1
Leonard Williams,2024-11-24,SEA,,ARI,"W, 16-6",3,3,0,0,0,1,2.5,0
Leonard Floyd,2024-11-24,SFO,@,GNB,"L, 10-38",4,0,0,0,0,0,2.0,0
Will Anderson,2024-11-24,HOU,,TEN,"L, 27-32",2,0,0,0,0,0,2.0,0
