Rank,Player,Yds,Year,Tm
125,Jim Brown+ (28),"1,446",1964,CLE
Rank,Player,Yds,Year,Tm
126,Stephen Davis (29),"1,444",2003,CAR
127,Travis Henry (23),"1,438",2002,BUF
128,Billy Sims (25),"1,437",1981,DET
129,Shaun Alexander (26),"1,435",2003,SEA
,Corey Dillon (25),"1,435",2000,CIN
,Dorsey Levens (27),"1,435",1997,GNB
132,Ezekiel Elliott (23),"1,434",2018,DAL
133,Stephen Davis (27),"1,432",2001,WAS
,Spec Sanders (29),"1,432",1947,NYY
135,Jerome Bettis+ (24),"1,431",1996,PIT
,Jonathan Taylor (25),"1,431",2024,IND
137,Jerome Bettis+ (21),"1,429",1993,RAM
138,Arian Foster (26),"1,424",2012,HOU
139,Walter Payton+ (30),"1,421",1983,CHI
140,Priest Holmes (29),"1,420",2003,KAN
141,Warrick Dunn (30),"1,416",2005,ATL
,Steven Jackson (26),"1,416",2009,STL
143,Jahmyr Gibbs (22),"1,412",2024,DET
144,Ricky Watters (27),"1,411",1996,PHI
145,Jim Brown+ (25),"1,408",1961,CLE
146,Otis Armstrong (23),"1,407",1974,DEN
,Thurman Thomas+ (25),"1,407",1991,BUF
148,Stephen Davis (25),"1,405",1999,WAS
149,Thomas Jones (31),"1,402",2009,NYJ
,Doug Martin (26),"1,402",2015,TAM
Rank,Player,Yds,Year,Tm
,Wilbert Montgomery (26),"1,402",1981,PHI
152,Eddie George (23),"1,399",1997,TEN
,Fred Taylor (24),"1,399",2000,JAX
154,Emmitt Smith+ (30),"1,397",1999,DAL
155,Walter Payton+ (25),"1,395",1978,CHI
156,Maurice Jones-Drew (24),"1,391",2009,JAX
157,Walter Payton+ (23),"1,390",1976,CHI
158,Deuce McAllister (23),"1,388",2002,NOR
159,Tiki Barber (27),"1,387",2002,NYG
,Ahman Green (24),"1,387",2001,GNB
,Christian McCaffrey (23),"1,387",2019,CAR
162,Adrian Peterson (24),"1,383",2009,MIN
163,Marshall Faulk+ (28),"1,382",2001,STL
164,Marshall Faulk+ (26),"1,381",1999,STL
165,Ottis Anderson (24),"1,376",1981,STL
,Earl Campbell+ (26),"1,376",1981,HOU
167,Charles White (29),"1,374",1987,RAM
168,Ricky Williams (26),"1,372",2003,MIA
169,Michael Turner (28),"1,371",2010,ATL
170,Eddie George (22),"1,368",1996,HOU
171,Chris Johnson (24),"1,364",2010,TEN
,Jamal Lewis (21),"1,364",2000,BAL
,Ray Rice (24),"1,364",2011,BAL
174,Le'Veon Bell (22),"1,361",2014,PIT
175,Marshall Faulk+ (27),"1,359",2000,STL
Rank,Player,Yds,Year,Tm
176,Ezekiel Elliott (24),"1,357",2019,DAL
177,Travis Henry (24),"1,356",2003,BUF
178,Terry Allen (28),"1,353",1996,WAS
,Rueben Mayes (23),"1,353",1986,NOR
