Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21
,Overall,Offense,Rushing Off,Passing Off,,,,,,,,,,,,,,,,
Year,Tm,Role,Tms,WL%,T/G,Pts±,Yds±,Yds,Pts,GvA,Att,Yds,TD,Y/A,FL,Att,Yds,TD,Int,NY/A
2022,DET,OC,32,11,4,9,21,4,5,1,13,11,3,15,7,11,8,8,2,5
2023,DET,OC,32,2,16,8,8,3,5,19,7,5,1,5,20,9,2,4,13,3
2024,DET,OC,32,1,8,1,3,2,1,6,3,6,2,9,2,16,2,4,16,2
3 yrs,,,,89,74,84,70,94,92,76,79,80,97,73,73,66,91,86,71,93
