Player,Date,Tm,,Opp,,Att,Yds,TD
Saquon Barkley,2024-11-24,PHI,@,LAR,"W, 37-20",26,255,2
Derrick Henry,2024-11-25,BAL,@,LAC,"W, 30-23",24,140,0
Tony Pollard,2024-11-24,TEN,@,HOU,"W, 32-27",24,119,1
Aaron Jones,2024-11-24,MIN,@,CHI,"W, 30-27",22,106,1
Josh Jacobs,2024-11-24,GNB,,SFO,"W, 38-10",26,106,3
