Player,Date,Tm,,Opp,,Att,Yds,TD
Saquon Barkley,2024-12-29,PHI,,DAL,"W, 41-7",31,167,0
Derrick Henry,2024-12-25,BAL,@,HOU,"W, 31-2",27,147,1
Jayden Daniels,2024-12-29,WAS,,ATL,"W, 30-24",16,127,0
Jonathan Taylor,2024-12-29,IND,@,NYG,"L, 33-45",32,125,2
Jahmyr Gibbs,2024-12-30,DET,@,SFO,"W, 40-34",18,117,1
