Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25,Column_26
,Rushing,Receiving,,,,,,,,,,,,,,,,,,,,,,,
Season,Age,Team,Lg,Pos,G,GS,Att,Yds,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,Tgt,Rec,Yds,1D,YBC,YAC,BrkTkl,Drop,Int,Awards
2024,24,WAS,NFL,QB,17,17,148,891,55,653,4.4,238,1.6,9,16.4,0,0,0,0,0,0,0,0,0,"PB,AP MVP-7,AP OPoY-17,AP ORoY-1"
1 Yr,,17,17,148,891,55,653,4.4,238,1.6,9,16.4,0,0,0,0,0,0,0,0,0,,,,
17 Game Avg,,17,17,148,891,55,653,4.4,238,1.6,9,16.4,0,0,0,0,0,0,0,0,0,,,,
